Month,franchiseId,State,District ,Town,totalRf,totalSales,totalEarnings,Type
Apr-18,F103787,Maharashtra,Sangli,Walva,  7 ,"  577,462 ",  997 ,DIGITAL
Apr-18,F104842,Tamil Nadu,Cuddalore,Cuddalore,  7 ,"  104,594 ",  -   ,DIGITAL
Apr-18,F104837,Tamil Nadu,Kanchipuram,Tirukalikundram,  7 ,"  216,718 ",  -   ,DIGITAL
Apr-18,F167079,Madhya Pradesh,Morena,Ambah,  1 ,  987 ,  2 ,DIGITAL
Apr-18,F104538,Tamil Nadu,Coimbatore,Coimbatore South,  4 ,"  727,902 ","  2,052 ",DIGITAL
Apr-18,F103960,Madhya Pradesh,Dewas,Dewas,  8 ,"  3,321,211 ","  7,476 ",DIGITAL
Apr-18,F104847,Maharashtra,Akola,Akola,  10 ,"  4,534,190 ","  9,941 ",DIGITAL
Apr-18,F166168,Madhya Pradesh,Bhopal,Bhopal,  5 ,"  29,513 ",  20 ,DIGITAL
Apr-18,F103983,Madhya Pradesh,Indore,Sanwer,  8 ,"  230,975 ",  331 ,DIGITAL
Apr-18,F166986,Madhya Pradesh,Neemuch,Neemuch,  3 ,"  4,766,406 ","  9,833 ",DIGITAL
Apr-18,F101017,Gujarat,Kheda,Nadiad,  1 ,"  82,942 ",  158 ,DIGITAL
Apr-18,F166353,Madhya Pradesh,Morena,Morena,  1 ,"  2,350,364 ","  4,981 ",DIGITAL
Apr-18,F166163,Madhya Pradesh,Bhopal,Huzur,  2 ,"  1,397,703 ","  3,091 ",DIGITAL
Apr-18,F101034,Gujarat,Ahmedabad,Ahmadabad City,  6 ,"  149,243 ",  244 ,DIGITAL
Apr-18,F104101,Madhya Pradesh,Bhopal,Bhopal,  2 ,"  32,162 ",  54 ,DIGITAL
Apr-18,F166382,Madhya Pradesh,Guna,Guna,  2 ,"  6,210,497 ","  12,721 ",DIGITAL
Apr-18,F103382,Karnataka,Chikkaballapur,Chickballapur,  3 ,"  20,239 ",  -   ,DIGITAL
Apr-18,F103887,Madhya Pradesh,Indore,Indore,  13 ,"  23,973 ",  -   ,DIGITAL
Apr-18,F104629,Madhya Pradesh,Jhabua,Jhabua,  2 ,"  3,579 ",  -   ,DIGITAL
Apr-18,F104462,Madhya Pradesh,Hoshangabad,Garhaghat,  11 ,"  59,396 ",  38 ,DIGITAL
Apr-18,F166326,Madhya Pradesh,Hoshangabad,Hoshangabad,  1 ,"  440,010 ","  1,180 ",DIGITAL
Apr-18,F103068,Karnataka,Bangalore,Bangalore South,  1 ,"  8,648 ",  14 ,DIGITAL
Apr-18,F167148,Madhya Pradesh,Morena,Morena,  1 ,"  2,750 ",  6 ,DIGITAL
Apr-18,F104857,Madhya Pradesh,Ratlam,Jaora,  1 ,"  3,847,472 ","  7,993 ",DIGITAL
Apr-18,F104865,Madhya Pradesh,Shivpuri,Kolaras,  2 ,"  1,404,950 ","  3,110 ",DIGITAL
Apr-18,F166371,Gujarat,Valsad,Umbergaon,  3 ,"  5,771,923 ","  11,807 ",DIGITAL
Apr-18,F104587,Madhya Pradesh,Guna,Guna,  26 ,"  57,829 ",  95 ,DIGITAL
Apr-18,F104817,Maharashtra,Yavatmal,Kalamb,  8 ,"  19,257 ",  2 ,DIGITAL
Apr-18,F167049,Madhya Pradesh,Ujjain,Khachraud,  1 ,"  27,000 ",  54 ,DIGITAL
Apr-18,F104715,Maharashtra,Amravati,Amravati,  1 ,"  2,265 ",  -   ,DIGITAL
Apr-18,F103824,Maharashtra,Thane,Thane,  2 ,"  12,391 ",  11 ,DIGITAL
Apr-18,F104833,Pondicherry,Pondicherry,Pondicherry,  1 ,"  4,100 ",  -   ,DIGITAL
