Month,FID,RMF PNH ID,RMF Name,State,District,Town, RF'S  , Total value , Earned Margin ,, RF'S  , Total value , Earned Margin ,,RF's,Earned Margin
Apr-18,F104626,38158158,A.S.Tomar Enterprises (RMF),Madhya Pradesh,Bhind,Gohad,2,20367,  -   ,,15,3980111,8441,,  -   ,  -   
Apr-18,F166337,34648510,Food Zone,Madhya Pradesh,Shivpuri,Shivpuri,1,1740,  -   ,,20,164994,212,,  -   ,  -   
Apr-18,F166351,36697592,Shreeji,Madhya Pradesh,Morena,Morena,  -   ,  -   ,  -   ,,2,22855,36,,  -   ,  -   
Apr-18,F104402,36228753,Maa Kamaksha Traders,Madhya Pradesh,Sehore,Budhni,3,12247,400,,20,2756565,5465,,  -   ,  -   
Apr-18,F104608,37169198,Darbar Telecom (RMF),Madhya Pradesh,Dhar,Dhar,6,62765,  -   ,,24,8076914,17874,,  -   ,  -   
Apr-18,F104827,32313239,Anjali Computers,Madhya Pradesh,Ratlam,Piploda,3,31038,  -   ,,17,4430784,9740,,  -   ,  -   
Apr-18,F167094,32473939,Taxfin solutions,Madhya Pradesh,Bhopal,Huzur,  -   ,  -   ,  -   ,,1,19904,  -   ,,  -   ,  -   
Apr-18,F100035,35522233,Sanjay Prabhakar Shirookar,Goa,South Goa,Mormugao,  -   ,  -   ,5090,,43,1995448,1955,,  -   ,  -   
Apr-18,F104068,34524471,Deep Enterprises,Madhya Pradesh,Dhar,Dhar,3,7203,  -   ,,20,820525,1548,,  -   ,  -   
Apr-18,F104835,39477212,Keshar Communication ,Madhya Pradesh,Bhopal,Huzur,8,76308,  -   ,,9,9292720,20636,,  -   ,  -   
Apr-18,F101026,33874828,Nabipur Telecom,Gujarat,Bharuch,Bharuch,4,32218,  -   ,,8,5873153,12634,,  -   ,  -   
Apr-18,F104855,39258784,Jain Telecom Centre,Madhya Pradesh,Shivpuri,Shivpuri,2,21011,  -   ,,7,5890216,12297,,  -   ,  -   
Apr-18,F103547,35597126,King Communication,Maharashtra,Sangli,Miraj,2,15908,3205,,35,1005649,941,,  -   ,  -   
Apr-18,F104760,32539564,Yash Electronics ,Madhya Pradesh,Barwani,Thikari,  -   ,  -   ,  -   ,,1,341,  -   ,,  -   ,  -   
Apr-18,F103875,35663984,Abhay Enterprises,Madhya Pradesh,Hoshangabad,Hoshangabad,5,22787,  -   ,,37,1837564,3686,,  -   ,  -   
Apr-18,F104828,37922921,Kushal Enterprises,Karnataka,Bangalore,Bangalore South,6,56429,400,,15,29935496,61137,,  -   ,  -   
Apr-18,F103851,37494478,Sree Tejaji Mobile Gallery,Madhya Pradesh,Indore,Indore,  -   ,  -   ,  -   ,,5,21076,  -   ,,  -   ,  -   
